Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Customer Watch Status Date,Credit Risk Rating,Credit Risk Rating Date,Assigned Risk Rating Date,Primary Industry Group,Primary Industry,Industry Group,Industry,Industry Weighting,Citizenship Class,Assigned Rating/ECGD Status,Loss Given Default,Probability of Default
JUST RETIREMENT LIMITED,00320961,0016700005Bs3jPAAR,COMPANY,Good,NULL,N/A,2022-03-02,2022-03-02,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,CIVIL: TRANSPORT,CIVIL: TRANSPORT MISCELLANOUS,0,YES,CORPORATE,0,0
KALYON INSAAT SANAYI VE TICARET A.S,00322804,0014K00000RX1UdQAL,COMPANY,Good,NULL,N/A,2024-08-23,2024-08-23,CIVIL: RENEWABLE ENERGY,SOLAR POWER,CIVIL: RENEWABLE ENERGY,SOLAR POWER,0,NO,CORPORATE,0,0
KEB HANA BANK,00329089,001Tm000007teAVIAY,BANK,Good,NULL,N/A,2024-07-31,2024-07-31,FINANCIAL,BANK,FINANCIAL,BANK,0,YES,CORPORATE,0,0
KOMMUNALKREDIT AUSTRIA AG,00324835,0014K00000aQ4FOQA0,BANK,Good,NULL,N/A,2023-12-18,2023-12-18,FINANCIAL,BANK,FINANCIAL,BANK,0,NO,CORPORATE,0,0
KOREA AEROSPACE INDUSTRIES LTD,00319140,0010X00004y8gayQAA,COMPANY,Good,NULL,N/A,2024-06-27,2024-06-27,DEFENCE: CATEGORY A (SHARP ARMS),AIRCRAFTS AND PARTS,DEFENCE: CATEGORY A (SHARP ARMS),AIRCRAFTS AND PARTS,0,NO,CORPORATE,0,0
KUWAIT PETROLEUM CORPORATION AND SUBSIDIARIES (KPC),00307709,001b000002Xcb9CAAR,COMPANY,Good,NULL,A+,2017-03-10,2022-01-26,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,0,NO,CORPORATE,35,0
LBBW,00315441,0010X00004EqzOfQAJ,BANK,Good,NULL,N/A,2023-03-21,2023-03-21,CIVIL: PROCESS PLANT & EQUIPMENT,PROCESS PLANT EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT,PROCESS PLANT EQUIPMENT,0,NO,CORPORATE,0,0
LEARJET INC,00319544,0010X0000538q3EQAQ,COMPANY,Good,NULL,B+,2020-11-30,2020-11-30,CIVIL: AERO,AIRBUS,CIVIL: AERO,AIRBUS,0,NO,CORPORATE,0,0
LLC CENTRAL PLAINS GROUP,00322053,0014K00000NF3ypQAD,COMPANY,Watch,2022-02-25,CCC,2021-12-23,2022-03-08,"CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES","CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES",0,NO,CORPORATE,0,0
LLC STRONG ENERGY ZAKHID,00323362,0014K00000TLFzkQAH,COMPANY,Watch,2022-02-25,CC,2021-12-23,2023-03-23,"CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES","CIVIL: AGRICULTURE, HORTICULTURE & FISHERIES","AGRICULTURE, HORTICULTURE & FISHERIES",0,NO,CORPORATE,61,0
LLOYDS SYNDICATE 0318 CINCINNATI GLOBAL UNDERWRITING AGENCY LTD,00327049,0014K00000eK7xHQAS,COMPANY,Good,NULL,AA-,2024-02-19,2024-02-19,FINANCIAL,FINANCIAL : MISCELLANEOUS,FINANCIAL,FINANCIAL : MISCELLANEOUS,0,YES,CORPORATE,35,0
LLOYDS SYNDICATE 2001 MS AMLIN,00315334,0010X00004DhtK3QAJ,COMPANY,Good,NULL,AA-,2017-02-06,2018-02-27,FINANCIAL,FINANCIAL : MISCELLANEOUS,FINANCIAL,FINANCIAL : MISCELLANEOUS,0,YES,CORPORATE,50,0
LLOYDS SYNDICATE 3010 LANCASHIRE SYNDICATES LTD,00327041,0014K00000eK8g3QAC,COMPANY,Good,NULL,AA-,2024-02-19,2024-02-19,FINANCIAL,FINANCIAL : MISCELLANEOUS,FINANCIAL,FINANCIAL : MISCELLANEOUS,0,YES,CORPORATE,35,0
MARITIME DEVELOPMENT LTD,00317363,0010X00004SuHKCQA3,COMPANY,Good,NULL,N/A,2024-04-16,2024-04-16,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,0,NO,CORPORATE,0,0
MARLBOROUGH COMMUNICATIONS LIMITED,00306580,001b000000jvWe7AAE,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,DEFENCE: CATEGORY B (NON SHARP ARMS),DEFENCE: CATEGORY B MISCELLANEOUS,DEFENCE: CATEGORY B (NON SHARP ARMS),DEFENCE: CATEGORY B MISCELLANEOUS,0,YES,CORPORATE,0,0
MODERN KARTON,00327505,0014K00000fGaC1QAK,COMPANY,Good,NULL,B,2024-04-19,2024-04-19,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,NO,CORPORATE,0,0
NATIONAL AUTHORITY FOR TUNNELS,00318621,0010X00004sWjn0QAC,COMPANY,Good,NULL,N/A,2020-12-21,2020-12-21,CIVIL: TRANSPORT,RAIL - ROLLING STOCK,CIVIL: TRANSPORT,RAIL - ROLLING STOCK,0,NO,CORPORATE,0,0
NAVAL GROUP,00323830,0014K00000VEJELQA5,COMPANY,Good,NULL,AA,2023-01-30,2023-01-30,DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",0,NO,SOVEREIGN,0,0
